q1,q2,q3,q4,q5,q6,q7,x,y,z,alfa,beta,gamma
-90,-90,-90,-90,-90,90,90,-0.5056998895957894,0.3976832117540508,0.2071129709352087,3.0449987837458465,0.41199827992887916,2.9040805975187496
-90,-90,-90,-90,-60,-90,-90,-0.48866762906427197,0.3905863172445595,0.20306174228506638,-3.1036966236444377,0.5471550109230978,3.128815629287174
-90,-90,-90,-90,-60,-90,-60,-0.47307056826544075,0.384095482400516,0.20152295657707647,-2.9636857060773028,0.6428608122693715,-2.977475216234787
-90,-90,-90,-90,-60,-90,-30,-0.4589815642258502,0.3783854149644905,0.20185787736446192,-2.8463372601358548,0.7198386467206858,-2.85690372317699
-90,-90,-90,-90,-60,-90,0,-0.44637914958392116,0.37350941277717103,0.20353053085066547,-2.768948202684826,0.7964520504181859,-2.7969859213392705
-90,-90,-90,-90,-60,-90,30,-0.4351865412841942,0.3694447148179244,0.20611369281761036,-2.745580525438724,0.883438875922594,-2.8024652810923274
-90,-90,-90,-90,-60,-90,60,-0.4252967578307456,0.36612571094718915,0.20927701043999272,-2.7981563535522818,0.9818759636429887,-2.888503278806958
-90,-90,-90,-90,-60,-90,90,-0.41658925360729304,0.3634664446143143,0.21277111954375966,-2.96912328494767,1.0793919449752345,-3.0929502873277546
-90,-90,-90,-90,-60,-60,-90,-0.40894081346878064,0.3613749414230888,0.2164122868540926,-2.578129394565206,1.062812890290887,-2.6534560325723664
-90,-90,-90,-90,-60,-60,-60,-0.4022324372012511,0.35976141066307843,0.2200689622167025,-2.338225757738312,1.0220459554527852,-2.387714517947678
-90,-90,-90,-90,-60,-60,-30,-0.3963528462629099,0.35854355555727746,0.22364929177378318,-2.2025040081260907,1.0030364171728692,-2.241587968960086
-90,-90,-90,-90,-60,-60,0,-0.3912005918304452,0.35764824447455384,0.22709190198355625,-2.130900633231713,1.0219019600937282,-2.1695383010083624
-90,-90,-90,-90,-60,-60,30,-0.3866845356317275,0.35701275817696193,0.23035799994845535,-2.109159288680666,1.0819289711071802,-2.153022175953027
-90,-90,-90,-90,-60,-60,60,-0.3827237681095082,0.35658376461899716,0.23342485626691906,-2.1494708099772053,1.1805599015977357,-2.200999528122719
